Root/Shoot ratio ;Drought level;Soil Type ;Species 
1,122580645;50;1;Basil
0,794520548;50;1;Basil
10,84210526;50;1;Basil
0,951612903;50;1;Basil
1,414448669;75;1;Basil
0,538135593;100;1;Basil
0,434210526;100;1;Basil
0,527093596;100;1;Basil
0,54245283;100;1;Basil
1,211267606;50;2;Basil
1,029612756;50;2;Basil
0,922222222;50;2;Basil
0,903030303;50;2;Basil
0,877394636;75;2;Basil
0,660633484;75;2;Basil
0,085714286;75;2;Basil
0,735294118;75;2;Basil
0,837638376;75;2;Basil
0,799270073;75;2;Basil
0,591320072;100;2;Basil
0,528089888;100;2;Basil
0,758333333;100;2;Basil
0,534482759;100;2;Basil
1,234567901;50;3;Basil
0,924528302;50;3;Basil
1,110552764;50;3;Basil
1,2;50;3;Basil
1,605633803;50;3;Basil
1,409090909;50;3;Basil
1,174129353;50;3;Basil
1,091715976;75;3;Basil
1,110465116;75;3;Basil
0,666666667;75;3;Basil
1,25;75;3;Basil
1,563636364;75;3;Basil
1,4375;75;3;Basil
0,57781457;100;3;Basil
1,15;100;3;Basil
1,113350126;100;3;Basil
1,385245902;100;3;Basil
0,590909091;50;1;Dill
0,302816901;50;1;Dill
0,8125;75;1;Dill
6,904761905;75;1;Dill
0,822857143;75;1;Dill
0,263157895;100;1;Dill
0,689189189;100;1;Dill
0,325581395;100;1;Dill
0,908450704;50;2;Dill
1,481132075;50;2;Dill
0,816216216;50;2;Dill
0,767123288;50;2;Dill
0,112426036;75;2;Dill
0,614814815;75;2;Dill
3,666666667;75;2;Dill
0,575757576;75;2;Dill
0,607142857;100;2;Dill
0,459016393;100;2;Dill
0,633165829;100;2;Dill
0,418604651;100;2;Dill
0,755319149;50;3;Dill
1,161290323;50;3;Dill
2,662921348;50;3;Dill
1,87755102;50;3;Dill
0,790909091;50;3;Dill
0,880597015;75;3;Dill
0,904255319;75;3;Dill
0,951048951;75;3;Dill
1,15625;75;3;Dill
0,743902439;75;3;Dill
2,821428571;75;3;Dill
1,166666667;75;3;Dill
0,135802469;75;3;Dill
0,762820513;100;3;Dill
0,43373494;100;3;Dill
0,793103448;100;3;Dill
0,573529412;100;3;Dill
0,651162791;50;1;Parsley
0,988095238;50;1;Parsley
1,416666667;75;1;Parsley
1,078431373;75;1;Parsley
0,375;100;1;Parsley
0,625;100;1;Parsley
1,35326087;50;2;Parsley
1,25;50;2;Parsley
1,5;50;2;Parsley
0,6;50;2;Parsley
1,608108108;50;2;Parsley
1,795698925;75;2;Parsley
1,18487395;75;2;Parsley
0,594936709;100;2;Parsley
0,405405405;100;2;Parsley
0,181818182;100;2;Parsley
0,657894737;100;2;Parsley
1,601626016;50;3;Parsley
2,263736264;50;3;Parsley
4,607843137;50;3;Parsley
1,269662921;50;3;Parsley
0,976608187;50;3;Parsley
1,453333333;75;3;Parsley
2,092307692;75;3;Parsley
1,252631579;75;3;Parsley
0,75;100;3;Parsley
